Station,Station ID,Station Name,Rail Lines Served,State Designated TOD,Jurisdiction,TOD Place Type,Area Population (2010),Station Type,Transit Score,Station Facility Score,Parking Score,Bike Access Score,Ped Access Score,TOD Zoning Score,Development Market,Total Rail Lines,Modes Served,Transit Connections,Connecting Bus Routes,Connecting Bus Routes (Text),Weekday Ridership: MARC Penn,Weekday Ridership: MARC Camden,Weekday Ridership: MARC Brunswick,Weekday Ridership: Metro,Weekday Ridership: Light Rail,Weekday_ridership,Weekend Ridership: MARC Penn,Weekend Ridership: MARC Camden,Weekend Ridership: MARC Brunswick,Weekend Ridership: Metro,Weekend Ridership: Light Rail,,Frequency of Service Weekday: MARC Penn,Frequency of Service Weekday: MARC Camden,Frequency of Service Weekday: MARC Brunswick,Frequency of Service Weekday: Metro,Frequency of Service Weekday: Light Rail,Frequency_of_Service_Weekday_All,Frequency of Service Weekend: MARC Penn,Frequency of Service Weekend: MARC Camden,Frequency of Service Weekend: MARC Brunswick,Frequency of Service Weekend: Metro,Frequency of Service Weekend: Light Rail,Track Crossing,Schedule Information,Route Information,Ticket Booth/Machine,Shelter,Benches,Public Restrooms,Public Phones,Parking Spots Regular,Parking Fee,Parking Spots ADA,EVC Charge Stations,EVC Charge Stations Occupied,Vehicles Parked (2010),Vehicles Parked (2014),Utilization Rate (2014) ,Spaces relative to number of Average Daily Riders (Weekday) Total lines,Spaces relative to number of Average Daily Riders (Weekend) Total lines,Spaces relative to other stations on the same line,Intersection Density (1 Mile Diameter),Short Trip Opportunity Analysis (1 Mile Buffer),Number of Bicycle Racks,Type of Bicycle Racks,Number of Bicycle Lockers,Number of Bicycle Lockers Occupied,Locally Designated TOD,Zoning Summary,Local Zoning Descriptions,Area Master plans,Residential Alterations (units),Residentail Alterations (permits),Residential New Construction (permits),Residential New Construction (units),Non Residential Alterations (permits),Non Residentail New Contruction (permits),Mixed-Use New Construction (permits),Mixed-Use New Construction (units),Count of MD Property View Parcels,Cumulative Composite Score (YEARBLT score x SQFTSTRC score),Location
Jessup,65,Jessup,MARC: Camden Line,No,Anne Arundel County,"Town, Suburban, or Employment Center",175470,Anchor,1,1,1,1,1,2,1,1,1,,,,,0.58,,,,0.58,,,,,,,,,,,,,,,,,,On Grade,No,No,No,Yes,No,No,No,32,No,0,0,0,7,13,181%,48,,0.138473643,12.7344,1,0,N/A,0,,No,W3 Heavy Industrial,,,0,1,0,0,0,8,0,0,,,"(39.151613, -76.776967)"
Savage,66,Savage,MARC: Camden Line,Yes,Howard County,"Town, Suburban, or Employment Center",174932,Anchor,2,2,5,4,1,5,1,1,3,Commuter Bus; Local Transit,202,202,,361.58,,,,361.58,,,,,,,,,,,,,,,,,,On Grade,Yes,No,Yes,Yes,Yes,Yes,No,363,No,30,0,0,348,247,71%,0.975806452,,1.570810386,17.8282,1,1,1 Wave,0,,Yes,TOD zoned (Savage Towne Center),,Master Plans\MARC\Laurel Mainstreet\US1Manual_AdoptedJuly2009.pdf,0,0,0,0,0,15,0,0,,,"(39.122483, -76.796936)"
Laurel Racetrack,67,Laurel Racetrack,MARC: Camden Line,No,Howard County,Village Center or Rural Town,143527,Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,25,"(39.105772, -76.832922)"
Laurel Mainstreet,68,Laurel Mainstreet,MARC: Camden Line,Yes,City of Laurel,"Town, Suburban, or Employment Center",147126,Anchor,2,2,5,4,2,5,1,1,2,Local Transit,,,,678.75,,,,678.75,,,,,,,,,,,,,,,,,,Grade Separated,Yes,Yes,No,Yes,Yes,Yes,No,470,No,14,0,0,443,497,112%,0.843175363,,2.033831629,85.3208,3,8,8 Inverted U,10,6,Yes,Municipal density,http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,Master Plans\MARC\Laurel Mainstreet\US1Manual_AdoptedJuly2009.pdf,,,,,,,,,566,159,"(39.101864, -76.841347)"
Muirkirk,69,Muirkirk,MARC: Camden Line,No,Prince Georges County,"Town, Suburban, or Employment Center",192427,Anchor,2,1,1,1,1,3,1,1,2,Commuter Bus,205,205,,355.25,,,,355.25,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,667,No,15,0,0,209,251,120%,2.056526208,,2.886309992,35.6564,2,0,N/A,8,1,No,"I-2, E-I-A, I-3",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,405,1258,"(39.061914, -76.884555)"
Greenbelt,70,Greenbelt,MARC: Camden Line; WMATA Metro,Yes,Prince Georges County,Urban Neighborhood,347842,Neighborhood,1,1,4,4,4,4,1,1,3,WMATA Metrobus ; Local Transit,"B30, Greenbelt Metrobus Routes","B30, Greenbelt Metrobus Routes",,61.33,,,,61.33,,,,,,,,,,,,,,,,,,Grade Separated,Yes,Yes,No,Yes,Yes,No,No,0,Yes,0,0,0,3164,,0%,0,,0,72.5863,6,70,70 Inverted U,27,,No,"M-X-T, O-S, R-55",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,901,67,"(39.012607, -76.909667)"
College Park,71,College Park,MARC: Camden Line; WMATA Metro,No,City of College Park,"Town, Suburban, or Employment Center",368352,Anchor,2,1,3,4,3,5,1,1,4,Commuter Bus; WMATA Metrobus; Local Transit,"204, 205; WMATA Metrobus College Park Routes","204, 205; WMATA Metrobus College Park Routes",,165.92,,,,165.92,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,0,Yes,0,0,0,0,,,0,,0,115.883,3,40,40 Inverted U,20,,Yes,"M-X-T, T-D-O, C-S-C, I-1, R-55",,,,,,,,,,,887,147,"(38.977425, -76.928523)"
Riverdale,72,Riverdale,MARC: Camden Line,No,Prince Georges County,Urban Neighborhood,364380,Neighborhood,1,1,2,1,4,3,2,1,2,WMATA Metrobus,WMATA Metrobus College Park Routes,WMATA Metrobus College Park Routes,,59.33,,,,59.33,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,108,No,4,0,0,13,30,233%,2.07028754,,0.467348545,147.72,6,2,2 Other,1,,No,"M-U-TC, R-55",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,1729,1516,"(38.962534, -76.935106)"
Martinsburg,73,Martinsburg,MARC: Brunswick Line; Amtrak,No,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.477293, -78.036142)"
Duffields,74,Duffields,MARC: Brunswick Line,No,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.381549, -77.87435)"
Harpers Ferry,75,Harpers Ferry,MARC: Brunswick Line; Amtrak,No,"City of Harpers Ferry, WV",,,,1,1,4,1,1,1,1,,3,Local Transit; Amtrak,,,,,81.67,,,81.67,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,84,No,4,0,0,56,90,161%,1.011033099,,0.447469666,0,,1,1 Wave,0,,,,,,,,,,,,,,2,0,"(39.324205, -77.744302)"
Brunswick,76,Brunswick,MARC: Brunswick Line,No,City of Brunswick,Village Center or Rural Town,11322,Regional,1,3,4,4,2,3,1,1,2,Local Transit,,,,,556.5,,,556.5,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,Yes,Yes,Yes,Yes,No,626,No,20,0,0,490,445,91%,1.141121069,,3.334714413,141.352,3,2,2 BR-Wheel Bender Combo,0,,Yes,"I - 2, B - 2 ",https://www.brunswickmd.gov/zoning-ordinance/,,,,,,,,,,904,239,"(39.31171, -77.627859)"
Point of Rocks,77,Point of Rocks,MARC: Brunswick Line,No,Frederick County,Village Center or Rural Town,8424,Regional,1,1,5,1,1,1,1,1,2,Local Transit,,,,,409,,,409,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,499,No,15,0,0,489,341,70%,1.297508126,,2.658182894,39.4768,1,4,4 Other,0,,No,"Agriculture, community planning area",https://frederickcountymd.gov/index.aspx?NID=1409,,,,,,,,,,372,470,"(39.273341, -77.534029)"
